time,wx,wy,wz
14.226,-0.00,-0.02,-0.92
14.244,0.00,-0.02,-1.15
14.275,0.00,-0.03,-1.34
14.291,0.00,-0.02,-1.48
14.308,0.00,-0.02,-1.15
14.324,0.00,-0.02,-0.70
14.341,0.00,-0.01,-0.23
14.358,-0.00,-0.01,0.00
14.376,0.00,-0.00,0.00
14.393,0.00,-0.00,0.00
14.409,0.00,-0.00,0.00
14.426,0.00,-0.00,0.00
14.443,0.00,-0.00,0.00
14.460,0.00,-0.00,0.00
14.476,0.00,-0.00,0.00
14.493,0.00,-0.00,0.00
14.509,0.00,-0.00,0.00
14.526,-0.00,-0.00,0.00
14.543,0.00,-0.00,0.00
14.560,0.00,-0.00,0.00
14.576,0.00,-0.01,0.00
14.593,0.00,-0.00,0.00
14.610,0.00,-0.00,0.00
14.626,0.00,-0.00,0.00
14.643,0.00,-0.00,0.00
14.659,0.00,-0.00,0.00
14.676,0.00,-0.00,0.00
14.693,0.00,-0.01,0.00
14.710,0.00,-0.01,0.00
14.726,0.00,-0.00,0.00
14.743,0.00,-0.00,0.00
14.759,0.00,-0.00,0.00
14.776,0.00,-0.00,0.00
14.793,0.00,-0.00,0.00
14.809,0.00,-0.00,0.00
14.827,0.00,-0.00,0.00
14.858,0.00,-0.00,-0.00
14.874,0.00,-0.00,0.00
14.891,0.00,-0.00,0.00
14.908,0.00,-0.00,0.00
14.926,0.00,-0.00,0.00
14.943,0.00,-0.00,0.00
14.960,0.00,-0.00,0.00
14.976,0.00,-0.00,0.00
14.993,0.00,-0.00,0.00
15.010,0.00,-0.00,0.00
15.026,0.00,-0.00,0.00
15.043,0.00,-0.00,0.00
15.060,0.00,-0.00,0.00
15.076,0.00,-0.00,0.00
15.093,0.00,-0.00,0.00
15.110,0.00,-0.00,0.00
15.126,0.00,-0.00,0.00
15.143,0.00,-0.00,0.00
15.160,0.00,-0.00,0.00
15.176,0.00,-0.01,0.00
15.193,0.00,-0.00,0.00
15.210,0.00,-0.00,0.00
15.226,0.00,-0.00,0.00
15.243,-0.00,-0.00,0.00
15.260,0.00,-0.00,0.00
15.277,0.00,-0.00,0.00
15.293,0.00,-0.00,0.00
15.310,0.00,-0.00,0.00
15.326,0.00,-0.00,0.00
15.343,0.00,-0.00,0.00
15.360,0.00,-0.00,0.00
15.377,-0.00,-0.00,0.00
15.394,0.00,-0.00,0.00
15.410,0.00,-0.00,0.00
15.441,0.00,-0.00,0.00
15.458,0.00,-0.00,0.00
15.475,0.00,-0.00,0.00
15.508,-0.00,-0.01,0.00
15.524,0.00,-0.00,0.00
15.541,-0.00,-0.00,0.00
15.575,0.00,-0.00,0.00
15.591,0.00,-0.00,0.00
15.608,0.00,-0.00,-0.00
15.624,0.00,-0.00,0.00
15.641,0.00,-0.00,0.00
15.658,0.00,-0.00,0.00
15.675,0.00,-0.00,0.00
15.691,-0.00,-0.00,0.00
15.708,0.00,-0.00,0.00
15.724,-0.00,-0.00,0.00
15.741,0.00,-0.00,0.00
15.758,0.00,-0.00,0.00
15.777,0.00,-0.00,0.00
15.793,0.00,-0.00,0.00
15.810,0.00,-0.00,0.00
15.826,0.00,-0.00,0.00
15.843,0.00,-0.00,0.00
15.860,0.00,-0.00,0.00
15.877,0.00,-0.00,0.00
15.894,0.00,-0.00,0.00
15.910,0.00,-0.00,0.00
15.926,0.00,-0.00,0.00
15.944,0.00,-0.00,0.00
15.960,-0.00,-0.01,0.00
15.977,0.00,-0.00,0.00
15.993,0.00,-0.00,0.00
16.025,0.00,-0.00,0.00
16.041,0.00,-0.00,0.00
16.058,0.00,-0.00,0.00
16.091,0.00,-0.00,0.00
16.108,0.00,-0.00,0.00
16.125,0.00,-0.00,0.00
16.158,0.00,-0.00,0.00
16.174,0.00,-0.00,0.00
16.191,0.00,-0.00,0.00
16.208,0.00,-0.00,0.00
16.225,0.00,-0.00,0.00
16.241,0.00,-0.00,0.00
16.258,0.00,-0.00,0.00
16.274,0.00,-0.00,0.00
16.291,0.00,-0.00,0.00
16.308,-0.00,-0.00,0.00
16.324,0.00,-0.00,0.00
16.341,0.00,-0.00,0.00
16.360,0.00,-0.00,0.00
16.377,0.00,-0.00,0.00
16.393,0.00,-0.00,0.00
16.410,0.00,-0.00,0.00
16.426,0.00,-0.00,0.00
16.443,0.00,-0.00,0.00
16.460,0.00,-0.00,0.00
16.476,0.00,-0.00,0.00
16.493,0.00,-0.00,0.00
16.510,0.00,-0.00,0.00
16.526,0.00,-0.00,0.00
16.543,0.00,-0.00,0.00
16.560,0.00,-0.00,0.00
16.577,0.00,-0.00,0.00
16.608,0.00,-0.00,0.00
16.624,0.00,-0.00,0.00
16.641,0.00,-0.01,0.00
16.675,0.00,-0.00,0.00
16.691,0.00,-0.00,0.00
16.710,0.00,-0.00,0.00
16.727,0.00,-0.00,0.00
16.743,0.00,-0.00,0.00
16.760,0.00,-0.00,-0.00
16.777,0.00,-0.01,0.00
16.797,-0.00,-0.01,0.00
16.812,0.00,-0.00,0.00
15.818,0.00,-0.00,0.00
15.833,0.00,-0.00,0.00
15.848,0.00,-0.00,0.00
15.863,0.00,-0.00,0.00
15.883,0.00,-0.00,0.00
15.898,0.00,-0.00,0.00
15.913,0.00,-0.00,0.00
15.928,0.00,-0.00,0.00
15.948,-0.00,-0.01,0.00
15.963,0.00,-0.00,0.00
15.978,0.00,-0.00,0.00
15.993,0.00,-0.00,0.00
16.013,0.00,-0.00,0.00
16.027,0.00,-0.00,0.00
16.042,0.00,-0.00,0.00
16.057,0.00,-0.00,0.00
16.077,0.00,-0.00,0.00
16.092,0.00,-0.00,-0.00
16.107,0.00,-0.00,0.00
16.122,0.00,-0.00,0.00
16.142,0.00,-0.00,0.00
16.157,0.00,-0.00,0.00
16.172,0.00,-0.00,0.00
16.187,0.00,-0.00,0.00
16.207,0.00,-0.00,0.00
16.222,0.00,-0.00,0.00
16.237,0.00,-0.00,0.00
16.252,0.00,-0.00,0.00
16.272,0.00,-0.00,0.00
16.287,0.00,-0.00,0.00
16.302,-0.00,-0.00,0.00
16.317,0.00,-0.00,0.00
16.336,0.00,-0.00,0.00
16.351,0.00,-0.00,0.00
16.366,0.00,-0.00,0.00
16.381,0.00,-0.00,0.00
16.401,0.00,-0.00,0.00
16.416,0.00,-0.00,0.00
16.431,0.00,-0.00,0.00
16.446,0.00,-0.00,0.00
16.466,0.00,-0.00,0.00
16.481,0.00,-0.00,0.00
16.496,0.00,-0.00,0.00
16.511,0.00,-0.00,0.00
16.531,0.00,-0.00,0.00
16.546,0.00,-0.00,0.00
16.561,0.00,-0.00,0.00
16.576,0.00,-0.00,0.00
16.596,0.00,-0.00,0.00
16.610,0.00,-0.00,0.00
16.625,0.00,-0.00,0.00
16.641,0.00,-0.01,0.00
16.660,0.00,-0.00,0.00
16.675,-0.00,-0.00,0.00
16.690,0.00,-0.00,0.00
16.705,0.00,-0.00,0.00
16.725,0.00,-0.00,0.00
16.740,0.00,-0.00,0.00
16.755,0.00,-0.00,-0.00
16.770,0.00,-0.01,0.00
16.790,-0.00,-0.01,0.00
16.805,0.00,-0.00,0.00
