time,wx,wy,wz
3.226,-0.17,0.37,0.57
3.243,0.02,0.38,0.49
3.259,0.16,0.37,0.36
3.276,0.13,0.24,0.31
3.293,0.25,0.08,0.19
3.310,0.41,-0.03,0.06
3.326,0.50,-0.03,-0.00
3.343,0.50,0.06,0.01
3.359,0.33,0.12,-0.09
3.391,0.21,0.09,-0.13
3.409,0.04,-0.10,-0.14
3.426,-0.01,-0.16,-0.13
3.458,-0.08,-0.18,-0.11
3.475,-0.35,-0.33,-0.26
3.493,-0.48,-0.44,-0.40
3.510,-0.52,-0.55,-0.54
3.527,-0.48,-0.71,-0.55
3.544,-0.40,-0.71,-0.56
3.561,-0.49,-0.71,-0.57
3.578,-0.67,-0.75,-0.61
3.594,-0.81,-0.85,-0.59
3.611,-0.88,-0.99,-0.52
3.627,-0.77,-1.03,-0.28
3.644,-0.62,-1.03,0.05
3.660,-0.45,-1.03,0.28
3.677,-0.21,-0.96,0.53
3.694,0.03,-0.80,0.89
3.710,0.25,-0.59,1.30
3.726,0.52,-0.36,1.62
3.744,0.89,-0.15,1.71
3.760,1.25,0.01,1.59
3.777,1.66,0.11,1.46
3.793,2.12,-0.05,1.29
3.810,2.60,-0.41,0.85
3.827,3.18,-0.56,0.36
3.844,3.72,-0.29,-0.18
3.861,3.86,0.29,-0.69
3.877,3.58,0.73,-1.02
3.894,3.26,0.82,-1.24
3.911,3.15,0.65,-1.40
3.927,2.80,0.47,-2.02
3.943,2.34,0.46,-2.18
3.975,1.98,0.48,-2.23
3.992,1.69,-0.07,-2.71
4.009,1.78,-0.28,-3.10
4.041,1.66,-0.18,-3.31
4.059,1.34,-0.67,-3.40
4.076,1.11,-0.99,-3.62
4.093,1.01,-0.82,-3.84
4.110,0.70,-0.25,-4.07
4.127,0.37,0.45,-4.32
4.144,0.06,0.71,-4.25
4.161,-0.08,0.31,-3.90
4.178,-0.11,-0.33,-3.50
4.195,-0.22,-0.80,-3.28
4.211,-0.69,-0.79,-3.24
4.227,-1.46,-0.32,-3.20
4.244,-2.19,0.41,-2.96
4.260,-2.73,0.80,-2.44
4.277,-3.05,0.41,-1.82
4.294,-3.14,-0.67,-1.40
4.310,-3.20,-1.83,-1.17
4.326,-3.42,-2.41,-0.86
4.343,-3.73,-2.19,-0.39
4.360,-4.16,-1.59,0.02
4.376,-4.32,-1.22,0.34
4.393,-3.91,-1.21,0.78
4.410,-3.16,-1.47,1.23
4.426,-2.54,-1.72,1.54
4.450,-2.36,-1.74,1.96
4.476,-2.29,-1.59,2.33
4.493,-1.99,-1.59,2.63
4.509,-1.61,-1.68,2.70
4.526,-1.32,-1.46,2.53
4.558,-1.34,-1.01,2.51
4.575,-1.04,-0.10,2.22
4.592,-0.92,0.08,1.91
4.625,-0.85,0.11,1.46
4.642,-0.88,0.33,0.42
4.659,-0.79,0.58,0.06
4.676,-0.46,0.65,-0.35
4.693,-0.09,0.54,-0.79
4.710,0.14,0.39,-1.09
4.726,0.19,0.43,-1.22
4.743,0.06,0.68,-1.11
4.759,-0.18,0.93,-1.02
4.776,-0.36,1.14,-1.03
4.792,-0.33,1.27,-1.01
4.809,-0.12,1.36,-0.97
4.826,0.12,1.25,-0.85
4.843,0.37,1.04,-0.86
4.859,0.54,0.84,-0.73
4.876,0.49,0.66,-0.31
4.893,0.44,0.33,0.17
4.909,0.54,-0.14,0.55
4.926,0.60,-0.48,0.84
4.942,0.43,-0.58,1.24
4.959,0.10,-0.56,1.65
4.976,-0.26,-0.58,1.97
4.993,-0.59,-0.58,2.15
5.009,-1.12,-0.68,2.16
5.026,-2.38,-0.85,1.69
5.042,-4.89,-0.90,0.78
5.059,-8.09,-0.83,0.38
5.076,-10.49,-0.26,1.08
5.093,-11.13,0.74,2.73
5.109,-11.74,5.69,6.79
5.141,-14.22,7.96,7.93
5.158,-16.01,9.13,8.34
5.175,-14.61,8.86,7.15
5.208,-4.92,6.19,4.48
5.224,-0.72,4.60,3.17
5.241,1.05,3.17,2.13
5.259,0.75,2.40,1.93
5.276,-0.43,1.98,2.56
5.292,-0.63,1.09,3.82
5.309,1.11,-0.99,4.87
5.325,4.15,-3.69,5.36
5.342,7.49,-5.84,5.61
