time,ax,ay,az,wx,wy,wz,Bx(µT),By(µT),Bz(µT),latitude,longitude,altitude,speed
2026-04-23T14:55:38.817Z,-0.1189,0.9452,-0.5581,-0.0924,0.5326,1.0768,-3.6512,-0.9701,-50.0979,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.827Z,-0.0591,1.0967,-0.8737,-0.2446,0.3536,1.0560,-3.5480,-0.8607,-49.5555,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.839Z,0.1739,1.3013,-0.7468,-0.3644,0.1959,1.0430,-3.2861,-0.8751,-49.9761,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.847Z,0.4636,1.4334,-0.7102,-0.4851,0.1261,1.0340,-3.2573,-0.6665,-50.1075,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.857Z,0.7503,1.5069,-0.3158,-0.4691,0.2903,1.0470,-3.1350,-0.4138,-50.2790,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.867Z,0.8772,1.5372,-0.0943,-0.3038,0.5515,1.0948,-3.1739,-0.1842,-50.2064,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.878Z,0.5584,1.7000,0.0661,-0.0962,0.8167,1.1766,-2.7874,0.0342,-50.0675,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.890Z,-0.2338,1.8050,0.0666,0.0725,0.9303,1.2524,-2.2885,0.1728,-50.2005,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.897Z,-0.6833,1.8345,-0.0190,0.1415,0.8340,1.2783,-1.8532,0.0869,-50.0869,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.907Z,-0.5779,1.9219,0.3462,0.0892,0.6855,1.2277,-1.3374,0.0194,-50.1357,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.917Z,-0.5547,2.0071,0.1294,0.0039,0.4618,1.1708,-1.0294,0.0146,-49.7911,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.927Z,-0.5643,1.8090,-0.0426,-0.1152,0.1615,1.1506,-0.6991,-0.0050,-49.9437,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.939Z,-0.2885,1.6240,0.3751,-0.2977,-0.0278,1.1647,-0.7046,-0.0023,-49.8978,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.947Z,0.1319,1.6552,-0.0416,-0.4802,-0.2062,1.1498,-0.6284,0.2408,-49.4246,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.958Z,0.3700,1.5449,-0.1626,-0.5022,-0.2201,1.0938,-0.6917,0.5564,-49.3256,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.967Z,0.4554,1.0807,-0.2679,-0.3557,-0.1491,1.1030,-1.0543,0.7208,-50.1146,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.977Z,0.3542,0.6909,-0.3214,-0.0958,-0.0826,1.1280,-1.0161,0.9166,-50.2053,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.989Z,0.3383,0.4843,-0.2080,0.1025,-0.0007,1.0660,-0.9867,0.9648,-50.0937,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.997Z,0.3447,0.1161,-0.0551,0.2259,0.1603,0.9779,-1.0038,0.9531,-50.0254,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:39.007Z,0.3481,-0.0630,-0.2632,0.2801,0.2826,0.9111,-0.9120,0.7623,-50.1979,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:39.018Z,0.3357,-0.3557,0.4899,0.2535,0.4819,0.9352,-0.5548,0.6535,-50.1989,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:39.028Z,0.3131,-0.3719,0.4833,0.1833,0.5942,0.9734,-0.4048,0.4980,-50.1421,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:39.039Z,0.1691,-0.4151,0.7983,0.0907,0.6278,0.9835,-0.0874,0.4129,-50.0108,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.047Z,0.0667,-0.5622,1.1204,-0.0246,0.5517,0.9641,0.3409,0.3200,-49.9003,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.057Z,0.3520,-0.6722,1.3508,-0.0272,0.4016,0.8722,0.5783,0.1675,-49.7375,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.068Z,0.5624,-0.9869,1.8336,-0.0151,0.3051,0.7260,0.7825,0.2344,-50.0083,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.077Z,0.8108,-0.7735,1.4300,-0.0328,0.2445,0.5771,0.9006,0.3272,-50.0249,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.089Z,1.0184,-0.5844,1.1176,0.0101,0.2532,0.4771,1.0221,0.3042,-49.8147,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.097Z,0.9383,-0.7339,0.9328,0.1150,0.2548,0.4269,1.1452,0.1478,-49.9444,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.107Z,0.9120,-0.6439,0.6484,0.2186,0.2363,0.4082,1.1409,0.0883,-49.9273,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.118Z,0.9548,-0.5090,0.2699,0.2515,0.2113,0.4422,1.3322,0.0504,-50.0551,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.127Z,1.2432,-0.2491,0.0219,0.1811,0.2357,0.5185,1.4515,-0.0870,-50.0230,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.139Z,1.4611,-0.2093,-0.1142,0.0218,0.2860,0.5881,1.6903,-0.0571,-50.1252,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.147Z,1.5476,-0.2103,0.0458,-0.1314,0.3759,0.5898,1.7666,0.0461,-50.2445,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.156Z,1.6336,-0.3765,0.2991,-0.2172,0.4437,0.5783,2.0220,0.0835,-50.0592,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.167Z,1.6143,-0.6603,0.6615,-0.2156,0.4783,0.5731,2.3446,0.1115,-49.9413,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.177Z,1.4364,-0.8354,0.6145,-0.1743,0.4436,0.5581,2.6101,0.1624,-50.0507,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.188Z,1.2791,-0.8739,0.4468,-0.1366,0.3666,0.5205,2.8359,0.2667,-49.8577,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.197Z,1.3122,-0.7353,0.1248,-0.1217,0.2462,0.4540,3.0009,0.2680,-49.9849,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.207Z,1.4193,-0.8404,-0.0475,-0.0712,0.1363,0.3736,3.0009,0.2680,-49.9849,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.218Z,1.5577,-0.9384,-0.0337,0.0132,0.0701,0.2930,3.1090,0.3029,-49.8821,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.227Z,1.7960,-0.6201,-0.3884,0.0039,-0.0204,0.2320,3.0799,0.3462,-49.9531,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.238Z,1.8647,-0.2815,-0.6299,-0.0513,-0.0688,0.2084,2.9672,0.2946,-49.9160,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.247Z,1.8843,-0.1777,-0.7730,-0.1031,-0.0255,0.2290,2.9987,0.4298,-49.8367,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.257Z,1.8891,-0.1115,-0.9451,-0.1022,0.0648,0.3040,3.0348,0.4430,-50.1266,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.267Z,1.7865,0.0143,-1.1283,-0.0952,0.1504,0.3681,3.2466,0.4422,-50.0777,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.277Z,1.7542,-0.0358,-1.0981,-0.1067,0.2284,0.4122,3.2211,0.3834,-49.8379,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.287Z,1.6820,-0.1218,-0.9342,-0.1152,0.2990,0.4645,3.2933,0.5345,-50.0131,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.297Z,1.5289,-0.0806,-0.9267,-0.0992,0.2960,0.4871,3.3650,0.4895,-49.9391,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.307Z,1.4528,-0.0845,-0.8274,-0.1002,0.2562,0.4931,3.4065,0.6450,-50.0515,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.317Z,1.3425,-0.1277,-0.5895,-0.1410,0.2294,0.4821,3.6262,0.6930,-50.0232,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.327Z,1.2329,-0.1122,-0.5959,-0.1997,0.2051,0.4574,3.7192,0.6318,-49.9676,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.337Z,1.3176,-0.1224,-0.7450,-0.2835,0.1680,0.4466,3.8732,0.7214,-49.8703,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.347Z,1.2989,-0.2755,-0.4161,-0.3702,0.2116,0.4396,3.9387,0.8819,-50.0795,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.358Z,1.1450,-0.3989,-0.4487,-0.3401,0.2625,0.4241,4.0686,1.0125,-49.9110,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.367Z,0.9661,-0.3210,-0.3154,-0.2566,0.3244,0.4257,4.0720,1.0198,-49.7391,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.377Z,0.7900,-0.2539,-0.2319,-0.1990,0.3474,0.4455,4.3587,1.1205,-49.8144,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.387Z,0.6240,-0.1317,-0.3115,-0.1798,0.3047,0.4384,4.6332,1.1644,-49.6311,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.397Z,0.5283,-0.1411,-0.1061,-0.2091,0.2703,0.4053,4.7652,1.3565,-49.6415,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.408Z,0.4038,-0.1439,-0.0313,-0.2194,0.2325,0.3576,4.9330,1.4538,-49.4049,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.418Z,0.3006,-0.3067,-0.0595,-0.1474,0.1876,0.3616,5.0539,1.6433,-49.5061,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.427Z,0.2614,-0.3605,-0.0451,-0.0702,0.1284,0.3919,5.0695,1.6025,-49.6344,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.437Z,0.4003,-0.3094,0.1997,-0.0605,0.1113,0.4196,5.2117,1.5951,-49.8076,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.447Z,0.2826,-0.0281,0.1477,-0.0992,0.1059,0.4297,5.3124,1.6110,-49.5246,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.457Z,0.0022,0.0732,0.2897,-0.0851,0.1576,0.4623,5.2853,1.6048,-49.1695,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.467Z,-0.2397,0.0340,0.2972,-0.0120,0.2123,0.5342,5.4047,1.6339,-49.5448,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.477Z,-0.5487,0.1240,0.2087,0.0796,0.2464,0.6347,5.5716,1.6328,-49.6631,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.488Z,-0.7352,0.3513,0.1569,0.1398,0.2282,0.7108,5.7315,1.4969,-49.4689,40.01023049799408,-105.24393952785817,1603.7002,0.2709
