time,Bx,By,Bz,Btotal
29.743,2.86,2.05,-50.57,50.69
29.753,2.68,1.65,-50.66,50.75
29.763,2.56,1.24,-50.81,50.89
29.773,2.64,1.02,-50.49,50.57
29.783,2.38,1.06,-50.76,50.83
29.793,2.38,1.06,-50.76,50.83
29.803,2.41,0.88,-50.60,50.67
29.813,2.54,0.91,-50.90,50.97
29.823,2.63,0.91,-51.07,51.14
29.833,3.00,0.72,-50.88,50.98
29.843,3.19,0.50,-51.15,51.25
29.853,3.50,0.36,-50.77,50.90
29.863,3.66,0.12,-50.92,51.05
29.873,3.88,-0.18,-51.24,51.39
29.883,4.28,-0.66,-51.05,51.24
29.893,4.61,-1.05,-51.20,51.42
29.903,5.05,-1.66,-50.79,51.07
29.913,5.60,-2.39,-50.70,51.06
29.923,5.89,-2.92,-51.02,51.44
29.932,6.21,-3.81,-50.67,51.19
29.943,6.52,-4.59,-51.23,51.85
29.952,6.88,-5.51,-50.72,51.48
29.963,7.12,-6.18,-50.51,51.38
29.972,7.57,-6.97,-50.72,51.76
29.982,8.12,-7.82,-50.28,51.53
29.992,8.62,-8.41,-50.51,51.92
30.002,9.36,-9.00,-49.69,51.36
30.012,10.31,-9.42,-49.26,51.20
30.022,11.10,-9.87,-49.41,51.59
30.032,11.93,-10.45,-48.97,51.47
30.042,12.69,-10.62,-48.78,51.51
30.052,13.55,-11.11,-48.44,51.51
30.062,14.53,-11.48,-48.00,51.45
30.072,15.70,-11.87,-47.87,51.76
30.082,16.61,-12.36,-46.90,51.27
30.092,17.16,-12.75,-46.86,51.51
30.102,17.66,-13.50,-46.06,51.15
30.112,18.03,-14.16,-45.99,51.39
30.122,18.22,-14.94,-45.95,51.64
30.132,18.62,-15.77,-45.20,51.37
30.142,18.97,-16.21,-45.28,51.70
30.152,19.44,-16.96,-44.30,51.27
30.162,20.09,-17.50,-43.72,51.20
30.172,20.79,-17.96,-43.64,51.57
30.182,21.41,-18.58,-42.68,51.24
30.192,21.93,-18.91,-42.60,51.51
30.202,22.59,-19.30,-41.87,51.34
30.212,23.32,-19.65,-41.00,51.10
30.222,24.08,-19.89,-40.77,51.37
30.232,24.81,-20.13,-39.45,50.77
30.242,25.69,-20.24,-39.18,51.04
30.251,26.54,-20.51,-38.18,50.81
30.261,27.30,-20.51,-37.63,50.81
30.271,28.00,-20.50,-37.15,50.84
30.281,28.82,-20.58,-36.37,50.76
30.291,29.67,-20.37,-36.12,50.99
30.301,30.45,-20.26,-35.37,50.88
30.311,31.26,-20.18,-34.40,50.68
30.321,32.09,-20.11,-34.23,51.05
30.331,33.00,-20.12,-33.12,50.90
30.341,33.39,-19.89,-32.58,50.71
30.351,34.06,-19.79,-31.88,50.68
30.361,34.61,-19.69,-31.05,50.49
30.371,34.98,-19.51,-31.10,50.71
30.381,35.46,-19.30,-30.33,50.49
30.391,35.72,-18.77,-30.34,50.48
30.401,36.42,-18.53,-30.15,50.78
30.411,36.91,-18.08,-29.40,50.53
30.421,37.20,-17.58,-29.53,50.64
30.431,37.73,-17.17,-28.78,50.46
30.441,37.96,-16.66,-28.69,50.42
30.451,38.33,-16.21,-28.67,50.54
30.461,38.71,-15.72,-28.28,50.45
30.471,39.02,-15.15,-28.14,50.44
30.481,39.35,-14.60,-27.33,50.08
30.491,39.60,-13.99,-27.61,50.26
30.501,39.99,-13.32,-27.56,50.36
30.511,40.36,-12.75,-27.11,50.27
30.521,40.57,-12.00,-27.41,50.41
30.531,40.90,-11.31,-27.00,50.30
30.541,41.27,-10.64,-27.39,50.66
30.550,41.33,-10.06,-27.36,50.57
30.560,41.46,-9.75,-26.72,50.28
30.571,41.47,-9.23,-27.03,50.36
30.580,41.45,-9.01,-26.92,50.24
30.590,41.26,-8.87,-27.64,50.45
30.600,41.24,-8.67,-27.83,50.51
30.610,41.00,-8.74,-27.74,50.27
30.620,40.40,-8.72,-28.48,50.19
30.630,40.09,-8.89,-28.64,50.07
30.640,39.72,-8.99,-29.57,50.32
30.650,39.25,-8.83,-30.28,50.35
30.660,39.06,-8.72,-29.98,50.01
30.670,39.03,-8.26,-30.20,50.04
30.680,39.43,-7.64,-29.37,49.75
30.690,39.79,-6.76,-29.42,49.95
30.700,40.32,-6.10,-29.02,50.05
30.710,41.03,-5.47,-28.14,50.05
30.720,41.52,-4.83,-27.69,50.14
30.730,42.06,-4.36,-26.86,50.09
30.740,42.00,-4.14,-27.06,50.13
30.750,41.86,-4.32,-27.64,50.35
30.760,41.53,-4.59,-27.87,50.22
30.770,40.94,-5.09,-28.68,50.24
30.780,40.34,-5.50,-28.97,49.97
30.790,39.71,-5.89,-29.78,49.99
30.800,39.20,-6.17,-30.29,49.92
30.810,38.65,-6.53,-30.37,49.58
30.820,38.26,-6.51,-31.25,49.83
30.830,38.13,-6.50,-31.22,49.71
30.840,38.02,-6.29,-31.94,50.05
30.850,37.83,-5.90,-32.24,50.06
30.860,37.96,-5.46,-32.24,50.10
30.869,38.00,-4.86,-32.59,50.29
30.880,38.22,-4.08,-32.28,50.19
30.889,38.08,-3.22,-32.67,50.28
30.899,38.33,-2.34,-32.73,50.46
30.910,38.55,-1.13,-32.39,50.37
30.919,38.53,0.14,-32.71,50.55
30.929,38.95,1.53,-32.17,50.54
30.939,39.13,2.84,-32.05,50.66
30.949,38.95,4.19,-32.19,50.71
30.959,39.33,5.62,-31.62,50.78
30.969,39.22,6.75,-31.48,50.75
30.979,39.44,7.94,-30.83,50.68
30.989,39.56,9.17,-30.43,50.75
30.999,39.54,10.17,-30.31,50.85
31.009,39.64,11.13,-29.76,50.80
31.019,39.48,11.75,-29.92,50.91
31.029,39.67,12.25,-29.46,50.91
31.039,39.75,12.42,-29.46,51.01
31.049,39.51,12.41,-29.96,51.11
31.059,39.58,12.07,-29.77,50.98
31.069,39.18,11.43,-30.73,51.09
31.079,38.93,10.72,-30.59,50.65
31.089,38.71,9.80,-31.00,50.55
31.099,38.51,8.96,-32.19,50.98
31.109,38.22,8.13,-32.52,50.84
31.119,37.03,7.30,-33.89,50.72
31.129,36.40,6.98,-34.20,50.44
31.139,35.89,6.94,-34.86,50.51
31.149,35.38,7.40,-35.76,50.85
31.159,35.16,7.95,-35.89,50.87
31.169,34.51,8.73,-36.57,51.04
31.179,33.97,9.63,-36.59,50.85
31.189,33.36,10.50,-36.88,50.82
31.198,32.60,11.63,-37.52,51.04
31.208,32.06,12.63,-37.50,50.92
31.218,31.23,13.68,-38.13,51.15
31.228,30.70,14.90,-37.92,51.02
31.238,30.15,16.05,-37.76,50.91
31.248,29.82,17.30,-38.05,51.35
31.258,29.71,18.47,-37.73,51.45
31.268,29.47,19.26,-37.84,51.69
31.278,29.19,20.23,-37.10,51.36
31.288,28.94,20.76,-36.78,51.20
31.298,28.61,20.94,-37.26,51.43
31.308,28.27,20.87,-37.33,51.27
31.318,28.12,20.48,-37.95,51.49
31.328,27.96,20.14,-37.87,51.20
31.338,28.12,19.49,-37.74,50.94
31.348,28.06,18.72,-38.54,51.22
31.358,28.49,18.26,-38.28,51.09
31.368,28.70,17.60,-38.83,51.40
31.378,28.92,17.13,-38.60,51.19
31.388,29.19,16.84,-38.83,51.41
31.398,29.47,16.32,-39.35,51.80
31.408,29.74,16.06,-38.82,51.47
31.418,29.70,15.92,-39.13,51.64
31.428,30.13,16.07,-38.18,51.22
31.438,30.13,16.07,-38.18,51.22
31.448,30.30,16.10,-37.71,50.99
31.458,30.47,16.31,-38.10,51.44
31.468,30.71,16.67,-37.16,51.01
31.478,30.81,16.91,-37.33,51.27
31.487,31.19,17.29,-36.70,51.17
31.498,31.33,17.53,-36.40,51.12
31.507,31.27,17.61,-36.71,51.34
31.517,31.32,17.99,-36.06,51.03
31.527,31.18,18.49,-36.36,51.34
31.537,31.09,19.02,-35.92,51.17
31.547,31.00,19.94,-35.56,51.22
31.557,31.31,20.76,-35.37,51.60
31.567,31.29,21.74,-34.66,51.50
31.577,30.99,22.52,-34.79,51.75
31.587,30.54,23.27,-34.03,51.31
31.597,30.23,24.02,-33.73,51.27
31.607,30.00,24.66,-33.84,51.51
31.617,29.78,25.21,-33.23,51.25
31.627,29.56,25.31,-33.67,51.46
31.637,29.50,25.56,-33.66,51.54
31.647,29.37,25.51,-33.59,51.40
31.657,29.08,25.54,-34.00,51.51
31.667,28.82,25.53,-33.79,51.23
31.677,28.22,25.49,-34.81,51.55
31.687,27.65,25.61,-35.22,51.58
31.697,26.90,25.67,-35.50,51.41
31.707,26.08,25.74,-36.53,51.74
31.717,25.43,25.78,-36.75,51.60
31.727,24.69,25.76,-37.63,51.85
31.737,24.10,25.72,-38.19,51.97
31.747,23.39,25.51,-38.34,51.65
31.757,22.75,25.23,-39.38,52.01
31.767,22.25,24.93,-39.33,51.61
31.777,21.61,24.57,-40.40,51.99
31.787,21.31,24.40,-41.01,52.26
31.796,20.77,24.07,-41.19,52.03
31.806,19.87,23.74,-41.86,52.07
31.816,19.20,23.41,-41.93,51.71
31.826,18.48,22.92,-42.92,52.05
31.836,18.12,22.40,-43.53,52.20
31.846,17.56,21.85,-43.59,51.82
31.856,17.04,21.13,-44.67,52.27
31.866,16.69,20.53,-44.47,51.75
31.876,16.43,19.84,-45.56,52.34
31.886,16.16,19.20,-46.19,52.57
31.896,15.77,18.50,-46.34,52.33
31.906,15.51,17.72,-46.74,52.34
31.916,15.12,16.93,-46.92,52.13
31.926,14.32,15.98,-47.90,52.49
31.936,13.81,15.02,-48.18,52.32
31.946,13.53,14.10,-48.35,52.15
31.956,12.67,13.10,-48.84,52.13
31.966,11.99,12.39,-48.93,51.88
31.976,11.51,11.67,-49.51,52.16
31.986,11.13,10.94,-50.04,52.42
31.996,11.16,10.55,-49.82,52.13
32.006,11.55,9.84,-50.37,52.61
32.016,11.98,9.31,-50.13,52.38
32.026,12.28,8.85,-50.65,52.86
32.036,13.21,8.33,-50.55,52.91
32.046,13.91,7.74,-50.29,52.75
32.056,14.40,7.02,-50.51,52.99
32.066,15.05,6.48,-49.92,52.54
32.076,15.45,5.92,-50.25,52.91
32.086,16.08,5.28,-50.34,53.11
32.096,16.51,4.71,-49.94,52.81
32.105,17.30,3.96,-50.40,53.44
32.115,18.23,3.48,-49.98,53.31
32.125,19.43,2.74,-49.82,53.55
32.135,20.28,2.09,-49.49,53.53
32.145,20.84,1.48,-48.95,53.22
32.155,20.61,1.28,-49.15,53.31
32.165,20.25,1.28,-49.14,53.16
32.175,20.06,1.26,-49.79,53.69
32.185,19.88,1.32,-49.99,53.81
32.195,19.91,1.33,-49.87,53.71
32.205,19.62,1.26,-50.23,53.94
32.215,19.54,1.18,-49.86,53.57
32.225,19.40,1.00,-50.08,53.72
32.235,19.45,0.92,-50.32,53.95
32.245,19.31,0.84,-49.87,53.48
32.255,19.29,0.61,-50.20,53.78
32.265,19.32,0.32,-49.81,53.43
32.275,19.44,0.13,-50.19,53.82
32.285,19.47,-0.18,-50.43,54.05
32.295,19.63,-0.44,-50.44,54.13
32.305,19.80,-0.75,-50.67,54.41
32.315,20.15,-0.79,-50.22,54.12
32.325,20.61,-0.86,-50.17,54.25
32.335,21.16,-0.84,-50.42,54.69
32.345,21.67,-0.70,-49.60,54.13
32.355,22.16,-0.52,-49.75,54.47
32.365,22.66,-0.26,-48.95,53.94
32.375,22.83,0.00,-48.98,54.04
32.385,23.07,0.20,-49.20,54.34
32.395,22.88,0.23,-48.98,54.06
32.405,22.63,0.39,-49.36,54.30
32.415,22.30,0.48,-49.15,53.98
32.425,21.92,0.41,-49.67,54.29
32.435,21.26,0.49,-50.24,54.55
32.445,20.78,0.56,-50.16,54.30
32.454,20.40,0.61,-50.61,54.57
32.465,20.10,0.78,-50.56,54.42
32.474,19.66,0.92,-50.83,54.51
32.484,19.26,1.14,-51.63,55.12
32.494,19.07,1.34,-51.30,54.75
32.504,18.90,1.43,-51.62,54.99
32.514,18.65,1.64,-51.26,54.57
32.524,18.40,1.58,-51.28,54.50
32.534,18.04,1.36,-51.76,54.83
32.544,17.46,1.15,-51.44,54.34
32.554,16.65,0.73,-52.13,54.73
32.564,15.80,0.30,-51.83,54.19
32.574,15.20,-0.22,-51.94,54.12
32.584,15.05,-0.87,-52.39,54.52
32.594,14.79,-1.33,-51.84,53.93
32.604,14.89,-1.62,-52.28,54.39
32.614,15.25,-1.71,-51.64,53.87
32.624,15.79,-1.66,-51.35,53.75
32.634,16.57,-1.40,-51.22,53.86
32.644,17.57,-0.92,-50.47,53.45
32.654,18.42,-0.42,-50.61,53.86
32.664,19.53,0.41,-49.52,53.23
32.674,20.61,0.99,-49.21,53.36
32.684,21.44,1.89,-48.85,53.38
32.694,22.11,2.65,-48.12,53.03
32.704,22.65,3.49,-48.20,53.37
32.713,23.03,4.23,-47.53,52.99
32.723,23.57,5.08,-46.87,52.70
32.733,24.24,5.74,-46.71,52.93
32.743,24.53,6.22,-46.10,52.59
32.753,24.78,6.50,-46.21,52.84
32.763,24.93,6.43,-45.78,52.52
32.773,24.83,6.31,-45.64,52.34
32.783,24.54,5.81,-46.23,52.66
32.793,24.02,5.20,-45.90,52.06
32.803,23.49,4.52,-46.44,52.23
32.813,22.89,3.73,-46.60,52.05
32.823,22.39,3.05,-46.91,52.06
32.833,21.86,2.53,-47.29,52.16
32.843,21.32,2.11,-47.10,51.74
32.853,21.12,1.88,-47.52,52.04
32.863,20.72,1.92,-47.33,51.71
32.873,20.59,2.03,-47.02,51.37
32.883,20.55,2.28,-47.73,52.01
32.893,20.42,2.62,-47.28,51.57
32.903,20.19,2.94,-47.65,51.83
32.913,20.01,3.18,-47.45,51.59
32.923,19.75,3.41,-47.33,51.39
32.933,19.57,3.52,-47.52,51.51
32.943,19.13,3.72,-47.45,51.29
32.953,19.14,3.66,-48.00,51.81
32.963,18.80,3.71,-48.18,51.85
32.973,18.57,3.83,-47.74,51.37
32.983,18.32,3.69,-48.18,51.68
32.993,17.99,3.82,-47.67,51.10
33.003,17.64,3.83,-48.36,51.62
33.013,17.42,4.07,-48.46,51.65
33.024,17.25,4.24,-48.04,51.22
33.034,17.12,4.36,-48.26,51.39
33.043,16.99,4.69,-47.86,51.00
33.052,16.98,4.88,-48.39,51.51
33.063,17.03,5.31,-48.12,51.32
33.072,17.03,5.31,-48.12,51.32
33.082,17.17,5.58,-47.91,51.20
33.092,16.99,5.97,-48.08,51.34
33.102,16.83,6.25,-47.76,51.02
33.112,16.73,6.61,-47.87,51.14
33.122,16.75,6.90,-47.76,51.08
33.132,16.83,7.14,-47.46,50.86
33.142,16.67,7.43,-47.87,51.23
33.152,16.70,7.62,-47.63,51.04
33.162,16.61,7.79,-47.78,51.18
33.172,16.74,7.79,-47.80,51.24
33.182,16.53,7.93,-47.54,50.95
33.192,16.72,8.01,-47.88,51.35
33.202,16.77,8.12,-47.34,50.88
33.212,16.87,8.18,-47.81,51.35
33.222,16.99,8.23,-48.02,51.60
33.232,17.23,8.18,-47.63,51.30
33.242,17.43,8.22,-47.70,51.44
33.252,17.61,8.19,-46.98,50.84
33.262,17.85,7.95,-47.32,51.20
33.272,18.13,7.73,-47.38,51.31
33.282,18.22,7.46,-47.13,51.08
33.292,18.27,7.20,-47.48,51.38
33.302,18.35,7.03,-46.84,50.80
33.312,18.43,6.89,-47.34,51.26
33.322,18.38,6.68,-47.38,51.26
33.331,18.34,6.63,-47.00,50.89
33.342,18.41,6.72,-46.97,50.89
33.352,18.43,6.88,-46.42,50.42
33.361,18.56,6.80,-47.13,51.11
33.371,18.62,6.70,-47.32,51.29
33.381,18.56,6.78,-46.74,50.74
33.391,18.58,6.74,-46.89,50.89
33.401,18.44,6.50,-46.64,50.58
33.411,18.55,6.30,-47.23,51.13
33.421,18.55,6.06,-47.27,51.13
33.431,18.62,5.87,-46.87,50.78
33.441,18.68,5.60,-47.28,51.14
33.451,18.83,5.59,-46.73,50.70
33.461,18.78,5.58,-46.86,50.79
33.471,18.96,5.53,-47.11,51.08
33.481,18.98,5.65,-46.63,50.66
33.491,19.18,5.78,-47.18,51.26
33.501,19.04,5.97,-46.60,50.69
33.511,19.21,6.18,-46.70,50.88
33.521,19.24,6.29,-46.62,50.82
33.531,19.40,6.50,-46.38,50.70
33.541,19.53,6.63,-46.67,51.02
33.551,19.41,6.72,-45.93,50.32
33.561,19.51,6.81,-46.14,50.55
33.571,19.49,6.92,-46.52,50.91
33.581,19.55,7.05,-46.19,50.65
33.591,19.79,7.09,-46.25,50.80
33.601,20.06,7.11,-45.85,50.55
33.611,20.33,7.29,-45.73,50.58
33.621,20.46,7.47,-45.82,50.74
33.631,20.75,7.60,-45.15,50.27
33.641,21.07,7.69,-45.39,50.63
33.651,21.29,7.93,-44.80,50.23
33.660,21.45,8.07,-44.99,50.49
33.670,21.47,8.23,-45.25,50.76
33.680,21.47,8.45,-44.78,50.37
33.690,21.11,8.73,-44.96,50.43
33.700,20.84,9.12,-44.60,50.07
33.710,20.51,9.43,-44.81,50.17
33.720,20.18,9.78,-45.16,50.42
33.730,19.86,10.20,-44.97,50.21
33.740,19.64,10.49,-45.57,50.72
33.750,19.19,10.78,-45.02,50.11
33.760,18.92,11.05,-45.14,50.18
33.770,18.66,11.19,-45.80,50.71
33.780,18.27,11.43,-45.56,50.40
33.790,17.99,11.32,-45.96,50.63
33.800,17.60,11.41,-45.77,50.35
33.810,17.08,11.18,-45.95,50.28
33.820,16.79,11.16,-46.31,50.51
33.830,16.45,11.04,-46.34,50.39
33.840,16.10,10.79,-46.98,50.82
33.850,15.82,10.62,-46.76,50.50
33.860,15.41,10.62,-46.72,50.33
33.870,15.09,10.46,-47.11,50.56
33.880,14.77,10.38,-47.18,50.51
33.890,14.67,10.26,-47.38,50.65
33.900,14.56,10.15,-46.99,50.23
33.910,14.18,9.95,-46.91,50.01
33.920,14.27,9.80,-47.38,50.44
33.930,13.83,9.68,-47.09,50.02
33.940,13.87,9.48,-47.68,50.55
33.950,13.57,9.29,-47.39,50.16
33.960,13.39,9.19,-47.56,50.25
33.969,13.50,9.16,-47.84,50.54
33.979,13.50,9.05,-47.40,50.11
33.989,13.62,8.90,-47.82,50.51
33.999,13.60,8.91,-47.16,49.89
34.009,13.70,8.79,-47.51,50.22
34.019,13.82,8.62,-47.86,50.55
34.029,13.88,8.47,-47.47,50.18
34.039,14.05,8.28,-47.86,50.56
34.049,14.17,8.04,-47.63,50.34
34.059,14.27,7.95,-47.41,50.15
34.069,14.15,7.86,-47.75,50.42
34.079,14.07,7.94,-47.41,50.08
34.089,13.91,8.05,-47.77,50.41
34.099,13.60,8.35,-47.52,50.13
34.109,13.35,8.70,-47.45,50.06
34.119,13.18,9.19,-47.75,50.38
34.129,12.69,9.79,-47.12,49.77
34.139,12.30,10.12,-47.82,50.40
34.149,11.81,10.41,-47.61,50.14
34.159,11.27,10.65,-47.59,50.05
34.169,10.90,10.96,-47.98,50.41
34.179,10.29,11.07,-47.45,49.79
34.189,9.67,11.19,-47.77,50.01
34.199,9.22,11.12,-47.90,50.04
34.209,8.73,11.21,-47.70,49.77
34.219,8.43,11.17,-48.06,50.06
34.229,8.14,11.31,-47.69,49.69
34.239,7.88,11.35,-48.07,50.01
34.249,7.83,11.33,-48.38,50.31
34.258,7.85,11.08,-48.17,50.05
34.268,7.71,11.09,-48.41,50.26
34.279,7.70,10.97,-48.02,49.85
34.288,7.68,10.79,-48.57,50.34
34.298,7.70,10.52,-48.69,50.41
34.308,7.52,10.29,-48.33,49.98
34.318,7.61,9.97,-48.81,50.40
34.328,7.27,9.68,-48.47,49.96
34.338,7.15,9.42,-48.90,50.31
34.348,7.14,9.15,-49.10,50.46
34.358,7.01,8.95,-48.63,49.94
34.368,6.98,8.68,-48.80,50.06
34.378,6.93,8.60,-48.34,49.59
34.388,6.90,8.36,-49.15,50.33
34.398,6.78,8.33,-49.38,50.53
34.408,6.63,8.38,-48.65,49.81
34.418,6.82,8.29,-49.01,50.17
34.428,6.68,8.21,-48.55,49.69
34.438,6.71,8.22,-49.08,50.21
34.448,6.83,8.09,-49.03,50.16
34.458,6.62,7.92,-48.65,49.73
34.468,6.53,7.94,-48.60,49.67
34.478,6.39,7.99,-48.35,49.43
34.488,6.45,7.96,-49.00,50.06
34.498,6.40,7.99,-49.15,50.21
34.508,6.23,8.08,-48.73,49.79
34.518,6.21,8.03,-49.10,50.14
34.528,6.11,8.00,-48.84,49.87
34.538,5.98,8.14,-49.07,50.10
34.548,5.94,8.09,-49.26,50.27
34.558,5.87,8.02,-48.75,49.75
34.568,5.92,8.12,-49.07,50.09
34.578,5.80,8.30,-48.58,49.63
34.588,5.80,8.41,-49.11,50.16
34.597,5.76,8.60,-49.23,50.31
34.607,5.51,8.77,-48.79,49.88
34.617,5.52,8.84,-49.03,50.13
34.627,5.41,9.05,-48.64,49.77
34.637,5.33,9.08,-49.08,50.20
34.647,5.23,9.18,-49.10,50.23
34.657,5.24,9.21,-48.67,49.81
34.667,5.28,9.30,-49.18,50.32
34.677,5.28,9.38,-48.57,49.75
34.687,5.16,9.38,-48.93,50.09
34.697,5.21,9.38,-49.12,50.27
34.707,5.26,9.54,-48.80,50.00
34.717,5.26,9.54,-48.80,50.00
34.727,5.27,9.56,-49.09,50.29
34.737,5.46,9.61,-48.51,49.76
34.747,5.54,9.55,-48.86,50.09
34.757,5.48,9.49,-49.04,50.25
34.767,5.54,9.58,-48.58,49.82
34.777,5.63,9.41,-49.04,50.25
34.787,5.75,9.44,-48.31,49.56
34.797,5.92,9.51,-48.33,49.62
34.807,6.12,9.42,-48.81,50.09
34.817,6.00,9.48,-48.27,49.56
34.827,6.16,9.54,-48.55,49.86
34.837,6.08,9.58,-48.02,49.34
34.847,5.93,9.78,-48.23,49.57
34.857,6.06,9.88,-48.80,50.16
34.867,6.11,9.80,-48.41,49.77
34.877,6.15,9.53,-49.06,50.35
34.886,6.26,9.47,-48.50,49.81
34.897,6.41,9.37,-48.58,49.89
34.906,6.61,9.31,-48.92,50.24
34.916,6.70,9.13,-48.35,49.66
34.926,6.90,9.13,-48.80,50.13
34.936,7.08,9.13,-48.01,49.38
34.946,7.40,9.18,-48.24,49.66
34.956,7.83,9.30,-48.74,50.24
34.966,7.93,9.35,-47.99,49.53
34.976,8.14,9.46,-48.31,49.89
34.986,8.42,9.55,-47.93,49.59
34.996,8.60,9.59,-48.01,49.71
35.006,8.82,9.68,-48.27,50.01
35.016,8.81,9.78,-47.88,49.66
35.026,9.01,9.87,-48.15,49.97
35.036,9.14,9.99,-47.54,49.43
35.046,9.09,10.08,-47.70,49.59
35.056,9.28,10.00,-47.98,49.88
35.066,9.22,9.95,-47.84,49.72
35.076,9.26,10.01,-48.45,50.33
35.086,9.18,9.94,-47.97,49.84
35.096,9.25,9.98,-47.92,49.82
35.106,9.03,9.91,-48.34,50.17
35.117,9.15,9.70,-47.92,49.74
35.126,9.36,9.51,-48.38,50.19
35.136,9.28,9.47,-47.95,49.74
35.146,9.31,9.46,-47.79,49.60
35.156,9.33,9.45,-48.42,50.21
35.166,9.32,9.62,-47.81,49.65
35.176,9.33,9.80,-48.13,50.00
